标题,链接,封面图,发布时间,内容类型,简介,来源,内容ID,视频时长
【任意球】强强对话握手言和 日耳曼战车冲击开门红,https://sports.cctv.com/2026/06/14/ARTIsdqxPpClvNEsT5fnsCL6260614.shtml,https://p5.img.cctvpic.com/photoworkspace/2026/06/14/2026061420002120734.jpg,,文章,央视网消息：北京时间6月14日，2026年美加墨世界杯继续进行。瑞士1-1战平卡塔尔；巴西1-1战平摩洛哥；苏格兰1-0小胜海地；澳大利亚2-0战胜土耳其。,央视网,ARTIsdqxPpClvNEsT5fnsCL6260614,
[世界杯]葡萄牙队抵达休斯敦进行赛前备战,https://sports.cctv.com/2026/06/14/VIDExDNehavOQpRFrdNl119D260614.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/14/2026061419403183241.jpg,,视频,北京时间6月13日，葡萄牙队抵达休斯敦进行赛前备战。,央视网,VIDExDNehavOQpRFrdNl119D260614,
[世界杯]丢失装备已找回 英格兰队开始训练,https://sports.cctv.com/2026/06/14/VIDEUJxtxsag5FYKR0eziX7i260614.shtml,https://p1.img.cctvpic.com/photoworkspace/2026/06/14/2026061419335512634.jpg,,视频,近日，英格兰队丢失装备已找回，正在积极备战首场比赛。,央视网,VIDEUJxtxsag5FYKR0eziX7i260614,
[世界杯]阿根廷伤员归队 备战首场小组赛,https://sports.cctv.com/2026/06/14/VIDEgcDfvtFfWxwxSEispNqy260614.shtml,https://p4.img.cctvpic.com/photoworkspace/2026/06/14/2026061419294072102.jpg,,视频,美国当地时间6月13日，阿根廷队继续进行训练，备战首场小组赛。,央视网,VIDEgcDfvtFfWxwxSEispNqy260614,
[世界杯]瑞典队、突尼斯队大雨中完成赛前训练,https://sports.cctv.com/2026/06/14/VIDEsJQiqDz5g7Lz5oGtQGnx260614.shtml,https://p2.img.cctvpic.com/photoworkspace/2026/06/14/2026061419264217576.jpg,,视频,北京时间6月15日，美加墨世界杯将迎来瑞典队与突尼斯队的比赛，目前双方正在积极备战。,央视网,VIDEsJQiqDz5g7Lz5oGtQGnx260614,
[世界杯]铁盾之争 厄瓜多尔队冲击20场不败,https://sports.cctv.com/2026/06/14/VIDED0lmhwfevgJcvSQwOT5A260614.shtml,https://p4.img.cctvpic.com/photoworkspace/2026/06/14/2026061419243816289.jpg,,视频,北京时间6月15日，美加墨世界杯将迎来科特迪瓦队与厄瓜多尔队的比赛。,央视网,VIDED0lmhwfevgJcvSQwOT5A260614,
[世界杯]库拉索想要给德国队出难题,https://sports.cctv.com/2026/06/14/VIDExLAC6R5Dmq1ztojKxkUd260614.shtml,https://p1.img.cctvpic.com/photoworkspace/2026/06/14/2026061419204124359.jpg,,视频,北京时间6月15日，美加墨世界杯将迎来德国队与库拉索队的比赛，库拉索队正积极备战中。,央视网,VIDExLAC6R5Dmq1ztojKxkUd260614,
[世界杯]德国队亮相 88岁寿星“收礼”,https://sports.cctv.com/2026/06/14/VIDEsL30N5FkSFSPTS5zvxzh260614.shtml,https://p2.img.cctvpic.com/photoworkspace/2026/06/14/2026061419180748102.jpg,,视频,北京时间6月15日，美加墨世界杯将迎来德国队与库拉索队的比赛，德国队进行了发布会，并向88岁的德国体育记者哈特穆特送上生日祝福。,央视网,VIDEsL30N5FkSFSPTS5zvxzh260614,
[世界杯]森保一目标明确 上田绮世力争进球,https://sports.cctv.com/2026/06/14/VIDEomJRrZgBw2w5GAYPSpoq260614.shtml,https://p1.img.cctvpic.com/photoworkspace/2026/06/14/2026061419150377892.jpg,,视频,北京时间6月15日，美加墨世界杯将迎来荷兰队与日本队的比赛，上田绮世表示力争进球，带队取胜。,央视网,VIDEomJRrZgBw2w5GAYPSpoq260614,
[世界杯]伊兰昆达：梦想成真 进球感觉太美妙,https://sports.cctv.com/2026/06/14/VIDEzv7cKihoYodv50QPu6vG260614.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/14/2026061419115639257.jpg,,视频,北京时间6月14日，2026年美加墨世界杯D组第1轮，澳大利亚2-0战胜土耳其。赛后伊兰昆达表示，梦想成真，进球感觉太美妙。,央视网,VIDEzv7cKihoYodv50QPu6vG260614,
[世界杯]冯旭：卡塔尔战平得益于队伍的快速调整,https://sports.cctv.com/2026/06/14/VIDEmiQHOecGmfrttFSRNlu7260614.shtml,https://p5.img.cctvpic.com/photoworkspace/2026/06/14/2026061419080821193.jpg,,视频,北京时间6月14日，2026年美加墨世界杯B组第1轮，卡塔尔1-1战平瑞士。冯旭表示，卡塔尔战平得益于队伍的快速调整和顽强斗志。,央视网,VIDEmiQHOecGmfrttFSRNlu7260614,
[世界杯]亚金：球队丢掉两分很遗憾,https://sports.cctv.com/2026/06/14/VIDEWfyHbFn97GBz8AGajBeR260614.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/14/2026061419093613546.jpg,,视频,北京时间6月14日，2026年美加墨世界杯B组第1轮，卡塔尔1-1战平瑞士。赛后瑞士主教练亚金表示，球队丢掉两分很遗憾。,央视网,VIDEWfyHbFn97GBz8AGajBeR260614,
[世界杯]贝勒加德：比赛很艰难 判罚本可以做得更好,https://sports.cctv.com/2026/06/14/VIDEjNTl058O7IiyB8BHSe5N260614.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/14/2026061419064592312.jpg,,视频,北京时间6月14日，2026年美加墨世界杯C组第1轮，苏格兰1-0小胜海地。贝勒加德表示比赛很艰难，判罚本可以做得更好。,央视网,VIDEjNTl058O7IiyB8BHSe5N260614,
[世界杯]约翰·麦金：比赛很艰难 赢球太棒了,https://sports.cctv.com/2026/06/14/VIDEQeWXQ50mSIXzB1q9PsDL260614.shtml,https://p5.img.cctvpic.com/photoworkspace/2026/06/14/2026061419010235163.jpg,,视频,北京时间6月14日，2026年美加墨世界杯C组第1轮，苏格兰1-0小胜海地。约翰·麦金表示，比赛很艰难，赢球太棒了。,央视网,VIDEQeWXQ50mSIXzB1q9PsDL260614,
[世界杯]苏格兰球迷徒步五千多公里赶上球队首战,https://sports.cctv.com/2026/06/14/VIDEcmumNfZZ8CvKyefrnCi8260614.shtml,https://p5.img.cctvpic.com/photoworkspace/2026/06/14/2026061419000562060.jpg,,视频,22岁的苏格兰球迷克雷格·弗格森从洛杉矶徒步五千多公里，历时109天抵达波士顿，赶上苏格兰对阵海地的世界杯首战。,央视网,VIDEcmumNfZZ8CvKyefrnCi8260614,
[世界杯]董午志：摩洛哥防守严密 巴西队进攻不够丝滑,https://sports.cctv.com/2026/06/14/VIDEf9xff5d3RYhdvvJEXISJ260614.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/14/2026061418532885698.jpg,,视频,北京时间6月14日，2026年美加墨世界杯C组第1轮，巴西1-1战平摩洛哥。董午志表示，摩洛哥防守严密，巴西队进攻不够丝滑。,央视网,VIDEf9xff5d3RYhdvvJEXISJ260614,
[世界杯]阿什拉夫：为球队拿到一分感到自豪,https://sports.cctv.com/2026/06/14/VIDEVfNDfzHsRdN3JCun87SQ260614.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/14/2026061418490065587.jpg,,视频,北京时间6月14日，2026年美加墨世界杯C组第1轮，巴西1-1战平摩洛哥。赛后阿什拉夫表示，为球队拿到一分感到自豪。,央视网,VIDEVfNDfzHsRdN3JCun87SQ260614,
[世界杯]橙衣军团折损后防大将 荷兰队低调迎战日本,https://sports.cctv.com/2026/06/14/VIDEio9X8AL70lC1iMvnsIT5260614.shtml,https://p5.img.cctvpic.com/photoworkspace/2026/06/14/2026061415123275192.jpg,,视频,北京时间6月15日，荷兰队将迎战日本队。出征前，荷兰队遭遇伤病困扰。,央视网,VIDEio9X8AL70lC1iMvnsIT5260614,
[世界杯]澳大利亚力克土耳其,https://sports.cctv.com/2026/06/14/VIDEPqw4902JL00BxqBqhNhQ260614.shtml,https://p2.img.cctvpic.com/photoworkspace/2026/06/14/2026061415103422809.jpg,,视频,北京时间6月14日，2026年美加墨世界杯D组第1轮，澳大利亚2-0战胜土耳其。,央视网,VIDEPqw4902JL00BxqBqhNhQ260614,
[世界杯]洛佩特吉：对全队表现感到自豪,https://sports.cctv.com/2026/06/14/VIDE3JDjhcipBrm1eQTn70W5260614.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/14/2026061415080390648.jpg,,视频,北京时间6月14日，2026年美加墨世界杯B组第1轮，卡塔尔1-1战平瑞士。卡塔尔队主教练洛佩特吉表示对全队表现感到自豪。,央视网,VIDE3JDjhcipBrm1eQTn70W5260614,
[世界杯]瑞士被卡塔尔绝平,https://sports.cctv.com/2026/06/14/VIDEtw1QlqGSjim29Tc80qN3260614.shtml,https://p2.img.cctvpic.com/photoworkspace/2026/06/14/2026061415061127592.jpg,,视频,北京时间6月14日，2026年美加墨世界杯B组第1轮，卡塔尔1-1战平瑞士。,央视网,VIDEtw1QlqGSjim29Tc80qN3260614,
[世界杯]苏格兰队一球小胜海地,https://sports.cctv.com/2026/06/14/VIDEijmmmWtnwLJ8xbEov8WW260614.shtml,https://p2.img.cctvpic.com/photoworkspace/2026/06/14/2026061415015278575.jpg,,视频,北京时间6月14日，2026年美加墨世界杯C组第1轮，苏格兰1-0小胜海地。,央视网,VIDEijmmmWtnwLJ8xbEov8WW260614,
[世界杯]安切洛蒂：世界杯不是靠第一场比赛就能赢下的,https://sports.cctv.com/2026/06/14/VIDE7uKnp8hadZV2j6hV9QwH260614.shtml,https://p2.img.cctvpic.com/photoworkspace/2026/06/14/2026061415000127618.jpg,,视频,北京时间6月14日，2026年美加墨世界杯C组第1轮，巴西1-1战平摩洛哥。巴西队主教练安切洛蒂表示，世界杯不是靠第一场比赛就能赢下的。,央视网,VIDE7uKnp8hadZV2j6hV9QwH260614,
世界杯C组首轮积分榜：苏格兰全取3分独占居首,https://sports.cctv.com/2026/06/14/ARTIqVDpjDek8xTSn0KaaQWN260614.shtml,https://p4.img.cctvpic.com/photoworkspace/2026/06/14/2026061414464014467.jpg,,文章,央视网消息：北京时间6月14日，2026年世界杯C组首轮比赛结束，目前积分榜情况如下：,央视网,ARTIqVDpjDek8xTSn0KaaQWN260614,
[世界杯]维尼修斯进球 巴西战平摩洛哥,https://sports.cctv.com/2026/06/14/VIDEJt64iJcksSIitc92Fa4I260614.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/14/2026061415490972162.jpg,,视频,北京时间6月14日，2026年美加墨世界杯C组第1轮，巴西1-1战平摩洛哥。,央视网,VIDEJt64iJcksSIitc92Fa4I260614,
世界杯D组首轮积分榜：美国净胜球优势领跑,https://sports.cctv.com/2026/06/14/ARTIGwFNDChpCyBLVZb87Q7Y260614.shtml,https://p4.img.cctvpic.com/photoworkspace/2026/06/14/2026061414371161167.jpg,,文章,央视网消息：北京时间6月14日，世界杯D组首轮比赛结束，目前积分榜情况如下：,央视网,ARTIGwFNDChpCyBLVZb87Q7Y260614,
[图]世界杯：伊兰昆达破门 澳大利亚首战2-0击败土耳其,https://sports.cctv.com/2026/06/14/PHOA4nd8Z6qM6aJZgHStLyJa260614.shtml,https://p4.img.cctvpic.com/photoworkspace/2026/06/14/2026061414301051189.jpg,,图集,央视网消息：北京时间6月14日，世界杯D组首轮，澳大利亚2-0击败土耳其，全取三分。,央视网,PHOA4nd8Z6qM6aJZgHStLyJa260614,
世界杯：伊兰昆达破门 澳大利亚首战2-0击败土耳其,https://sports.cctv.com/2026/06/14/ARTIR0DQdXEF7WIfV1YwTl5I260614.shtml,https://p2.img.cctvpic.com/photoworkspace/2026/06/14/2026061414160897954.jpg,,文章,央视网消息：北京时间6月14日，世界杯D组首轮，澳大利亚2-0击败土耳其，全取三分。上半场，第27分钟，澳大利亚队打出高效反击，伊兰昆达1V3后贡献精彩进球；下半场，第75分钟，梅特卡夫远射破门，最终澳大利亚2-0获胜。,央视网,ARTIR0DQdXEF7WIfV1YwTl5I260614,
[世界杯]梅特卡夫外围突施冷箭 澳大利亚再下一城,https://sports.cctv.com/2026/06/14/VIDEHOROZRc9QmK0qEWHwmcG260614.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/14/2026061413534662533.jpg,,视频,央视网消息：北京时间6月14日，2026年美加墨世界杯D组第1轮，澳大利亚VS土耳其，第75分钟，梅特卡夫外围突施冷箭，澳大利亚再下一城。,央视网,VIDEHOROZRc9QmK0qEWHwmcG260614,
[世界杯]澳大利亚长传反击 伊兰昆达人球分过低射破门,https://sports.cctv.com/2026/06/14/VIDE88g2Z5wsgRLpV5csEMl0260614.shtml,https://p2.img.cctvpic.com/photoworkspace/2026/06/14/2026061412455972318.jpg,,视频,央视网消息：北京时间6月14日，2026年美加墨世界杯D组第1轮，澳大利亚VS土耳其，第27分钟，澳大利亚长传反击，伊兰昆达人球分过低射破门。,央视网,VIDE88g2Z5wsgRLpV5csEMl0260614,
[我爱世界杯]20260614 澳大利亚VS土耳其 前瞻,https://sports.cctv.com/2026/06/14/VIDEYgUoM0re8e6nIyjDADsx260614.shtml,https://p2.img.cctvpic.com/photoworkspace/2026/06/14/2026061412300992642.jpg,,视频,2026年6月14日《我爱世界杯》为您带来：美加墨世界杯小组赛澳大利亚与土耳其的比赛即将打响，让我们一同关注。,央视网,VIDEYgUoM0re8e6nIyjDADsx260614,
[我爱世界杯]澳大利亚VS土耳其 重点球员实力解析,https://sports.cctv.com/2026/06/14/VIDEYnHdxMeDFALDMnbimfH7260614.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/14/2026061412271341349.jpg,,视频,美加墨世界杯小组赛澳大利亚与土耳其的比赛即将打响，双方都有哪些重点球员，听听嘉宾的分析。,央视网,VIDEYnHdxMeDFALDMnbimfH7260614,
[我爱世界杯]澳大利亚VS土耳其 双方首发阵容出炉,https://sports.cctv.com/2026/06/14/VIDEdgspHctnUa69gdBRpLNv260614.shtml,https://p5.img.cctvpic.com/photoworkspace/2026/06/14/2026061411564989299.jpg,,视频,美加墨世界杯小组赛澳大利亚与土耳其的比赛即将打响，双方首发阵容出炉。,央视网,VIDEdgspHctnUa69gdBRpLNv260614,
[图]世界杯：麦金破门建功 苏格兰1-0小胜海地开门红,https://sports.cctv.com/2026/06/14/PHOAJHjloICj7iA30cpfkHrp260614.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/14/2026061411522666170.jpg,,图集,央视网消息：北京时间6月14日，世界杯小组赛C组第1轮，苏格兰1-0小胜海地，拿到3分，暂时排在C组第一。,央视网,PHOAJHjloICj7iA30cpfkHrp260614,
[我爱世界杯]20260614 海地VS苏格兰 赛后点评,https://sports.cctv.com/2026/06/14/VIDEdug5qtVOXcTLAgXSeHiy260614.shtml,https://p1.img.cctvpic.com/photoworkspace/2026/06/14/2026061411532918360.jpg,,视频,2026年6月14日《我爱世界杯》为您带来：2026年美加墨世界杯C组第1轮，苏格兰1-0小胜海地。,央视网,VIDEdug5qtVOXcTLAgXSeHiy260614,
[世界杯]C组第1轮：海地VS苏格兰,https://sports.cctv.com/2026/06/14/VIDEl4MKG9oQahuI30GQm9ZE260614.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/14/2026061411383462264.jpg,,视频,央视网消息：北京时间6月14日，2026年美加墨世界杯C组第1轮结束。苏格兰1比0击败海地。麦金打入全场比赛唯一进球。,央视网,VIDEl4MKG9oQahuI30GQm9ZE260614,
世界杯：麦金破门建功 苏格兰1-0小胜海地开门红,https://sports.cctv.com/2026/06/14/ARTIfAAKWPorFuPtIYLYXNbS260614.shtml,https://p4.img.cctvpic.com/photoworkspace/2026/06/14/2026061411235329790.jpg,,文章,央视网消息：北京时间6月14日，世界杯小组赛C组第1轮，苏格兰1-0小胜海地，开门红拿到3分，暂时排在C组第一。上半场，第28分钟，麦金补射破门；下半场，双方易边再战，互有攻守，但最终没有进球产生。,央视网,ARTIfAAKWPorFuPtIYLYXNbS260614,
[世界杯]C组第1轮：海地0-1苏格兰 集锦,https://sports.cctv.com/2026/06/14/VIDEIBIbaLlIzQO7K7dePHXH260614.shtml,https://p4.img.cctvpic.com/photoworkspace/2026/06/14/2026061411254841459.jpg,,视频,央视网消息：北京时间6月14日，2026年美加墨世界杯C组第1轮结束。苏格兰1比0击败海地。麦金打入全场比赛唯一进球。,央视网,VIDEIBIbaLlIzQO7K7dePHXH260614,
官方：卡塔尔补时进球改判为瑞士后卫穆海姆自摆乌龙,https://sports.cctv.com/2026/06/14/ARTIV68gRgyhC8ffROyh1ISl260614.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/14/2026061410540711566.jpg,,文章,央视网消息：北京时间6月14日，世界杯B组首轮，卡塔尔1-1战平瑞士。第90+4分钟，卡塔尔队策动进攻，霍马姆边路传中，卡塔尔队扈希与瑞士队穆海姆跃起争顶，皮球被砸进球门。最终，官方认定，这粒进球不归于扈希，而是穆海姆的乌龙。,央视网,ARTIV68gRgyhC8ffROyh1ISl260614,
17胜4平！巴西队连续21届世界杯首战保持不败,https://sports.cctv.com/2026/06/14/ARTIMwcT3L0ZP0het4u1NiJU260614.shtml,https://p2.img.cctvpic.com/photoworkspace/2026/06/14/2026061410132699387.jpg,,文章,央视网消息：北京时间6月14日，世界杯小组赛C组第1轮，巴西1-1摩洛哥。至此，巴西队在单届世界杯首场比赛中已连续21场不败。他们上一次在这项赛事中输掉首场比赛要追溯到1934年。,央视网,ARTIMwcT3L0ZP0het4u1NiJU260614,
世界杯：巴西首战平摩洛哥 维尼修斯当选全场最佳球员,https://sports.cctv.com/2026/06/14/ARTIhlhW4mlpL3vjfB0RdEZm260614.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/14/2026061410024483957.jpg,,文章,央视网消息：北京时间6月14日，世界杯小组赛C组第1轮，巴西1-1摩洛哥。为巴西队攻入扳平球的维尼修斯，最终被评选为本场比赛最佳球员。维尼修斯首发出战，并且打满全场，他在场上仅有1次射门，这唯一的一次射门便取得进球。,央视网,ARTIhlhW4mlpL3vjfB0RdEZm260614,
[世界杯]麦金左脚补射破门 苏格兰先下一城,https://sports.cctv.com/2026/06/14/VIDERhkYbau9FJFhKfw9vjKk260614.shtml,https://p1.img.cctvpic.com/photoworkspace/2026/06/14/2026061409570160450.jpg,,视频,央视网消息：北京时间6月14日，2026年美加墨世界杯C组第1轮，海地迎战苏格兰。第27分钟，苏格兰精妙配合，麦金左脚补射破门锁定进球。苏格兰1-0领先。,央视网,VIDERhkYbau9FJFhKfw9vjKk260614,
[我爱世界杯]20260614 海地VS苏格兰 前瞻,https://sports.cctv.com/2026/06/14/VIDExqpfqGSFwaa3mLxv98IC260614.shtml,https://p5.img.cctvpic.com/photoworkspace/2026/06/14/2026061409410045427.jpg,,视频,2026年6月14日《我爱世界杯》为您带来：美加墨世界杯小组赛海地与苏格兰的比赛即将打响，让我们一同关注。,央视网,VIDExqpfqGSFwaa3mLxv98IC260614,
[我爱世界杯]海地对阵苏格兰 核心球员实力解析,https://sports.cctv.com/2026/06/14/VIDEU9wUcnGIqW5T2zyIdhKf260614.shtml,https://p4.img.cctvpic.com/photoworkspace/2026/06/14/2026061409283820400.jpg,,视频,美加墨世界杯小组赛海地与苏格兰的比赛即将打响，董午志带来双方重点球员实力解析。,央视网,VIDEU9wUcnGIqW5T2zyIdhKf260614,
[我爱世界杯]海地对阵苏格兰 刘越分析双方首发阵容,https://sports.cctv.com/2026/06/14/VIDEIp1vPYc2rOSSFIaMBJPB260614.shtml,https://p5.img.cctvpic.com/photoworkspace/2026/06/14/2026061409231172568.jpg,,视频,美加墨世界杯小组赛海地与苏格兰的比赛即将打响，刘越分析双方首发阵容。,央视网,VIDEIp1vPYc2rOSSFIaMBJPB260614,
[世界杯]C组第1轮：巴西VS摩洛哥,https://sports.cctv.com/2026/06/14/VIDEd5TLQj9bzFTDbQM5cjI2260614.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/14/2026061409190466768.jpg,,视频,央视网消息：北京时间6月14日，2026年美加墨世界杯C组第1轮，巴西VS摩洛哥。最终，巴西1-1战平摩洛哥。,央视网,VIDEd5TLQj9bzFTDbQM5cjI2260614,
[图]世界杯：维尼修斯破门救主 巴西1-1平摩洛哥,https://sports.cctv.com/2026/06/14/PHOAwMdmkpN3yfckGsicktvL260614.shtml,https://p4.img.cctvpic.com/photoworkspace/2026/06/14/2026061408484454531.jpg,,图集,央视网消息：北京时间6月14日，世界杯小组赛C组第1轮，塞巴里、维尼修斯各入一球，巴西1-1平摩洛哥，两队各取1分。,央视网,PHOAwMdmkpN3yfckGsicktvL260614,
世界杯：维尼修斯破门救主塞巴里建功 巴西1-1平摩洛哥,https://sports.cctv.com/2026/06/14/ARTIGYxfmJOavm40WDQoZmZ3260614.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/14/2026061408184798955.jpg,,文章,央视网消息：北京时间6月14日，世界杯小组赛C组第1轮，巴西1-1平摩洛哥，两队各取1分。,央视网,ARTIGYxfmJOavm40WDQoZmZ3260614,
[世界杯]C组第1轮：巴西1-1摩洛哥 集锦,https://sports.cctv.com/2026/06/14/VIDEpaNcrbDOOqpTJWgE7b2I260614.shtml,https://p1.img.cctvpic.com/photoworkspace/2026/06/14/2026061412135071543.jpg,,视频,央视网消息：北京时间6月14日，2026年美加墨世界杯C组第1轮，巴西VS摩洛哥。最终，巴西1-1战平摩洛哥。,央视网,VIDEpaNcrbDOOqpTJWgE7b2I260614,
世界杯《如约而至》！这群球迷的打开方式太不一样了,https://sports.cctv.com/2026/06/14/ARTITzW35guFAzWvRA0vNwjO260614.shtml,https://p1.img.cctvpic.com/photoworkspace/2026/06/14/2026061419504383576.jpg,,文章,世界杯比赛正如火如荼，球迷们的故事同样精彩！于嘉、阎鹤祥跨界主持，这组合，稳了！,央视网,ARTITzW35guFAzWvRA0vNwjO260614,
[世界杯]维尼修斯摆脱防守 内切爆射扳平比分,https://sports.cctv.com/2026/06/14/VIDE04dWkv2EtOIuofonJJ8s260614.shtml,https://p1.img.cctvpic.com/photoworkspace/2026/06/14/2026061407102719788.jpg,,视频,央视网消息：北京时间6月14日，2026年美加墨世界杯展开争夺，巴西队对阵摩洛哥队。第31分钟，维尼修斯摆脱防守，内切爆射扳平比分，巴西1-1摩洛哥。,央视网,VIDE04dWkv2EtOIuofonJJ8s260614,
[世界杯]迪亚斯送出直塞 塞巴里挑射得分,https://sports.cctv.com/2026/06/14/VIDEEdJP8HfYBFUNoA6c6bcb260614.shtml,https://p2.img.cctvpic.com/photoworkspace/2026/06/14/2026061406421236412.jpg,,视频,央视网消息：北京时间6月14日，2026年美加墨世界杯展开争夺，巴西队对阵摩洛哥队。第20分钟，迪亚斯送出直塞，塞巴里挑射得分，摩洛哥1-0巴西。,央视网,VIDEEdJP8HfYBFUNoA6c6bcb260614,
[我爱世界杯]20260614 巴西VS摩洛哥 前瞻,https://sports.cctv.com/2026/06/14/VIDEQ1iAes83Arj17CV8T9p9260614.shtml,https://p5.img.cctvpic.com/fmspic/2026/06/14/98b315b61525408c89feb76ed3506b9b-62265135-2.jpg,,视频,北京时间2026年6月14日《我爱世界杯》为您带来：2026年美加墨世界杯小组赛，巴西对阵摩洛哥的比赛即将打响，双方球队抵达比赛地点并进行赛前热身，让我们一同关注。,央视网,VIDEQ1iAes83Arj17CV8T9p9260614,
[我爱世界杯]摩洛哥音乐人：为摩洛哥男足感到自豪,https://sports.cctv.com/2026/06/14/VIDEJaQn2u32dnPhW5sku4rm260614.shtml,https://p3.img.cctvpic.com/fmspic/2026/06/14/0aba6b4ad569468c831cc175e551f1d9-62265127-1.jpg,,视频,定居在纽约的摩洛哥音乐人为摩洛哥男足感到自豪。,央视网,VIDEJaQn2u32dnPhW5sku4rm260614,
[我爱世界杯]摩洛哥已经登场 巴西从未离开,https://sports.cctv.com/2026/06/14/VIDEPbIlM3HzDem67IYc2Zct260614.shtml,https://p1.img.cctvpic.com/fmspic/2026/06/14/9231c72416114f5f82a0239a7f015b17-62265113-1.jpg,,视频,北京时间6月14日，2026年美加墨世界杯小组赛，巴西对阵摩洛哥的比赛即将打响，两支球队都已做好准备，全力争胜。,央视网,VIDEPbIlM3HzDem67IYc2Zct260614,
[我爱世界杯]巴西VS摩洛哥 摩洛哥队赛前踩场,https://sports.cctv.com/2026/06/14/VIDENHEtauALeHYGJsOZTUmW260614.shtml,https://p4.img.cctvpic.com/fmspic/2026/06/14/ebb77bd3a6b54b638fd282d92158014c-62265105-2.jpg,,视频,北京时间6月14日，2026年美加墨世界杯小组赛，巴西对阵摩洛哥的比赛即将打响，摩洛哥队进行赛前踩场。,央视网,VIDENHEtauALeHYGJsOZTUmW260614,
[世界杯]B组第1轮：卡塔尔VS瑞士,https://sports.cctv.com/2026/06/14/VIDE65YyIeBEzTpIrdro7HTj260614.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/14/2026061405464169826.jpg,,视频,央视网消息：北京时间6月14日，2026年美加墨世界杯展开争夺，最终，卡塔尔1-1瑞士。,央视网,VIDE65YyIeBEzTpIrdro7HTj260614,
[我爱世界杯]巴西VS摩洛哥 巴西队赛前踩场,https://sports.cctv.com/2026/06/14/VIDEBBfH3rpTg3EOHSFc0nXU260614.shtml,https://p2.img.cctvpic.com/fmspic/2026/06/14/0030545adcb747c09f590516aa8e7cb0-62265097-2.jpg,,视频,北京时间6月14日，2026年美加墨世界杯小组赛，巴西对阵摩洛哥的比赛即将打响，巴西队进行赛前踩场。,央视网,VIDEBBfH3rpTg3EOHSFc0nXU260614,
[世界杯]B组第1轮：卡塔尔1-1瑞士 集锦,https://sports.cctv.com/2026/06/14/VIDEMU2AXMe3v6QqUkpeMiGc260614.shtml,https://p1.img.cctvpic.com/photoworkspace/2026/06/14/2026061405245222750.jpg,,视频,央视网消息：北京时间6月14日，2026年美加墨世界杯展开争夺，最终，卡塔尔1-1瑞士。,央视网,VIDEMU2AXMe3v6QqUkpeMiGc260614,
[图]恩博洛破门扈希头球扳平比分 瑞士战平卡塔尔,https://sports.cctv.com/2026/06/14/PHOA9IXZ3MPmQoCmGaKAeIIH260614.shtml,https://p5.img.cctvpic.com/photoworkspace/2026/06/14/2026061405154365080.jpg,,图集,央视网消息：2026美加墨世界杯，卡塔尔对阵瑞士。上半场，恩博洛罚进点球；下半场补时阶段，扈希头球破门为卡塔尔扳平比分。最终，瑞士1-1战平卡塔尔。,央视网,PHOA9IXZ3MPmQoCmGaKAeIIH260614,
[世界杯]扈希跃起争顶造乌龙 卡塔尔队扳平比分,https://sports.cctv.com/2026/06/14/VIDEXzCsnhtZAbcOBM8K2Sqi260614.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/14/2026061410485317109.jpg,,视频,央视网消息：北京时间6月14日，2026年美加墨世界杯展开争夺，卡塔尔队对阵瑞士队。第90+4分钟，卡塔尔队策动进攻，霍马姆边路传中，卡塔尔队扈希与瑞士队穆海姆跃起争顶，皮球被砸进球门，最初，该粒进球被判为是扈希的绝平球。通过国际足联的官方认定，最终这粒进球改判为穆海姆的乌龙球。,央视网,VIDEXzCsnhtZAbcOBM8K2Sqi260614,
世界杯：恩博洛点球破门扈希造乌龙 瑞士战平卡塔尔,https://sports.cctv.com/2026/06/14/ARTIBZWUOK8sTgxumIGkAnXR260614.shtml,https://p1.img.cctvpic.com/photoworkspace/2026/06/14/2026061405065092121.jpg,,文章,央视网消息：2026美加墨世界杯，卡塔尔对阵瑞士。上半场，恩博洛罚进点球；下半场补时阶段，扈希头争顶造乌龙，卡塔尔扳平比分。最终，瑞士1-1战平卡塔尔。,央视网,ARTIBZWUOK8sTgxumIGkAnXR260614,
