标题,链接,封面图,发布时间,内容类型,简介,来源,内容ID,视频时长
[国际足球]国际十大候选：美加墨世界杯分组揭晓,https://tv.cctv.com/2025/12/15/VIDEQ0JdxgZwU27UjrD4dIum251215.shtml,https://p2.img.cctvpic.com/photoworkspace/2025/12/15/2025121510083036858.jpg,,视频,2025年度国际十大体育新闻候选：美加墨世界杯分组揭晓，48队共谱众多“第一”。,央视网,VIDEQ0JdxgZwU27UjrD4dIum251215,
[国际足球]2026年世界杯十大看点,https://tv.cctv.com/2025/12/09/VIDERTd9gyUd1blxEeqBm0Ek251209.shtml,https://p1.img.cctvpic.com/photoworkspace/2025/12/09/2025120909241338372.jpg,,视频,本期视频盘点2026年世界杯十大看点。,央视网,VIDERTd9gyUd1blxEeqBm0Ek251209,
[国际足球]美加墨世界杯揭幕战2026年6月11日打响,https://tv.cctv.com/2025/12/06/VIDEfDwBdifV5RyGwaW2qxNZ251206.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/05/25/2026052515481783730.jpg,,视频,美加墨世界杯抽签出炉，揭幕战将于2026年6月11日打响。,央视网,VIDEfDwBdifV5RyGwaW2qxNZ251206,
[国际足球]美加墨世界杯抽签出炉 姆巴佩将大战哈兰德,https://tv.cctv.com/2025/12/06/VIDE3K2htiG2xkISRk31x1UY251206.shtml,https://p5.img.cctvpic.com/photoworkspace/2025/12/06/2025120609090350210.jpg,,视频,北京时间12月6日，美加墨世界杯抽签出炉，姆巴佩将大战哈兰德。,央视网,VIDE3K2htiG2xkISRk31x1UY251206,
[图]麦克托米奈惊天倒钩 苏格兰4-2丹麦晋级世界杯,https://sports.cctv.com/2025/11/19/PHOAHhmltzVBvuS6hPyywl77251119.shtml,https://p5.img.cctvpic.com/photoworkspace/2025/11/19/2025111909351568422.jpg,,图集,央视网消息：北京时间11月19日，世预赛欧洲区小组赛，苏格兰4-2战胜丹麦，成功晋级明年世界杯。,央视网,PHOAHhmltzVBvuS6hPyywl77251119,
[图]加克波传射西蒙斯破门 荷兰4-0晋级世界杯,https://sports.cctv.com/2025/11/18/PHOAZ6efwGtpJSqppVkoEovw251118.shtml,https://p5.img.cctvpic.com/photoworkspace/2025/11/18/2025111807313127389.jpg,,图集,央视网消息：北京时间11月18日3:45，世预赛欧洲区小组赛G组第6轮，荷兰坐镇主场约翰克鲁伊夫体育场迎战立陶宛。上半场，赖因德斯先拔头筹+中柱。易边再战，德里赫特造点，加克波点射命中，西蒙斯再下一城，马伦一条龙建功。最终荷兰4-0立陶宛。积分榜方面，荷兰20分小组第一晋级美加墨世界杯，立陶宛3分垫底。,央视网,PHOAZ6efwGtpJSqppVkoEovw251118,
[图]萨内双响格纳布里传射 德国6-0斯洛伐克进世界杯,https://sports.cctv.com/2025/11/18/PHOA4Ga14pNs9o7PRWvyqQzG251118.shtml,https://p2.img.cctvpic.com/photoworkspace/2025/11/18/2025111807213133597.jpg,,图集,央视网消息：北京时间11月18日3:45，世预赛欧洲区小组赛A组第6轮，德国主场迎战斯洛伐克。上半场，基米希助攻沃尔特马德连场破门！格雷茨卡助攻格纳布里扩大领先优势；随后5分钟内维尔茨两度助攻萨内破门。下半场，格纳布里帮助巴库再下一城！萨内助攻韦德拉奥果建功。最终，德国队主场6-0大胜斯洛伐克，小组头名晋级美加墨世界杯！,央视网,PHOA4Ga14pNs9o7PRWvyqQzG251118,
[图]世预赛-哈兰德2分钟2球 挪威时隔28年进世界杯,https://sports.cctv.com/2025/11/17/PHOAQ3axX73q8GRk9vdfmpK1251117.shtml,https://p1.img.cctvpic.com/photoworkspace/2025/11/17/2025111714520277196.jpg,,图集,央视网消息：北京时间11月17日，世预赛欧洲区小组赛I组迎来最后一轮生死大战，意大利主场1-4不敌挪威，遭遇对手的双杀，位列小组第二无缘直通世界杯正赛，只能通过世预欧附加赛争夺最后出线资格。而挪威则凭借本场胜利锁定小组第一，时隔28年再次晋级世界杯。,央视网,PHOAQ3axX73q8GRk9vdfmpK1251117,
[国际足球]墨西哥队和日本队公布2026年世界杯球衣,https://tv.cctv.com/2025/11/07/VIDEjHw84YEOCE92rc7lmzuy251107.shtml,https://p5.img.cctvpic.com/photoworkspace/2025/11/07/2025110709231578746.jpg,,视频,墨西哥队与日本队相继公布2026年世界杯球衣，前者融入阿兹特克文化元素致敬传统，后者以“地平线”为核心理念，两款设计均兼顾文化表达与运动功能。,央视网,VIDEjHw84YEOCE92rc7lmzuy251107,
[图]英格兰5-0取六连胜 成欧洲区首支直通世界杯球队,https://sports.cctv.com/2025/10/15/PHOAXSFMXZW0GyHLP9Z0C9gG251015.shtml,https://p1.img.cctvpic.com/photoworkspace/2025/10/15/2025101510132268237.jpg,,图集,央视网消息：北京时间10月15日，2026年美加墨世界杯欧洲区K组第八轮展开角逐，英格兰客场5-0横扫拉脱维亚，取得六连胜且一球不失，提前两轮获得美加墨世界杯参赛资格，也是第一支出线的欧洲球队。,央视网,PHOAXSFMXZW0GyHLP9Z0C9gG251015,
[国际足球]战平伊拉克 沙特晋级世界杯决赛圈,https://tv.cctv.com/2025/10/15/VIDE9oNfNNpj6gXS53tUzXe7251015.shtml,https://p5.img.cctvpic.com/photoworkspace/2025/10/15/2025101508572766386.jpg,,视频,北京时间10月15日，在2026年世界杯亚洲区预选赛第四阶段比赛中，沙特0-0战平伊拉克，以小组头名身份直接晋级2026年世界杯。,央视网,VIDE9oNfNNpj6gXS53tUzXe7251015,
[国际足球]定位球制胜 卡塔尔队晋级世界杯决赛圈,https://tv.cctv.com/2025/10/15/VIDEJluxQ4lGPWIuZJQwBEWH251015.shtml,https://p5.img.cctvpic.com/photoworkspace/2025/10/15/2025101508425953594.jpg,,视频,北京时间10月15日，在2026年世界杯亚洲区预选赛第四阶段比赛中，卡塔尔2-1击败阿联酋，从而晋级世界杯决赛圈。,央视网,VIDEJluxQ4lGPWIuZJQwBEWH251015,
[国际足球]佛得角队史首进世界杯,https://tv.cctv.com/2025/10/14/VIDEvTm3ElBEwj9eKZO6s6Uw251014.shtml,https://p2.img.cctvpic.com/photoworkspace/2025/10/14/2025101422071745323.jpg,,视频,10月14日，世预赛非洲区小组赛D组，佛得角3-0战胜斯威士兰，锁定小组第1，队史首次晋级世界杯。,央视网,VIDEvTm3ElBEwj9eKZO6s6Uw251014,
[国际足球]安切洛蒂：球员应专注于赢得世界杯冠军,https://tv.cctv.com/2025/10/10/VIDE2UVuMoN8hzF4l2zP76WF251010.shtml,https://p2.img.cctvpic.com/photoworkspace/2025/10/10/2025101009060530873.jpg,,视频,结束世预赛的比赛后，巴西队在10月开启了亚洲行，他们将先后与韩国队和日本队进行友谊赛。,央视网,VIDE2UVuMoN8hzF4l2zP76WF251010,
[国际足球]埃及晋级2026世界杯决赛圈,https://tv.cctv.com/2025/10/09/VIDE4CBTpq3AfRA1xFqaAFdT251009.shtml,https://p5.img.cctvpic.com/photoworkspace/2025/10/09/2025100920522260082.jpg,,视频,10月9日，埃及晋级2026世界杯，本届世界杯已定19席。,央视网,VIDE4CBTpq3AfRA1xFqaAFdT251009,
[国际足球]2026年美加墨世界杯官方比赛用球“三重浪”正式发布,https://tv.cctv.com/2025/10/03/VIDEtLc4RCJOO8Nupw15ed98251003.shtml,https://p1.img.cctvpic.com/photoworkspace/2025/10/03/2025100320385330564.jpg,,视频,近日，2026年美加墨世界杯官方比赛用球“三重浪”正式发布。,央视网,VIDEtLc4RCJOO8Nupw15ed98251003,
[天下足球]2026年世界杯吉祥物发布,https://tv.cctv.com/2025/09/29/VIDEbHtQanaf36AcIjfRMfJ9250929.shtml,https://p4.img.cctvpic.com/fmspic/2025/09/29/b7ee565c9358479e9509cd3e331a15dd-56306129-2.jpg,,视频,北京时间9月25日，国际足联官方发布了2026年美加墨世界杯的三个吉祥物。,央视网,VIDEbHtQanaf36AcIjfRMfJ9250929,
[国际足球]世界杯预选赛南美区直接晋级球队全部产生,https://tv.cctv.com/2025/09/05/VIDERhAKe0UeYHpSv8S5psxK250905.shtml,https://p5.img.cctvpic.com/photoworkspace/2025/09/05/2025090522065958678.jpg,,视频,北京时间9月5日，世界杯预选赛南美区直接晋级球队全部产生，巴拉圭、乌拉圭、哥伦比亚等队成功晋级2026年世界杯。,央视网,VIDERhAKe0UeYHpSv8S5psxK250905,
[国际足球]2026年世界杯倒计时一周年活动在多地举行,https://tv.cctv.com/2025/06/12/VIDEpCUVuNBWvKN2tWr6g5J7250612.shtml,https://p2.img.cctvpic.com/photoworkspace/2025/06/12/2025061219294979119.jpg,,视频,北京时间6月11日，2026年世界杯倒计时一周年活动在美国和墨西哥的几座主办城市举行。,央视网,VIDEpCUVuNBWvKN2tWr6g5J7250612,
